Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44492,,
Mouse ID,27415-01,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
BD,44384,,
Sac Date,44492,,
Age at Sac,108,,
Injection Date,"7/8/21, 7/10/21",,
Virus 1,RCAS Cre-U6-sgRNA-Ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
Tissue collected,"Brain, lung, tumor",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung, tumor",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"soft tumor under skin on the back of the neck/shoulder, had to sack when it reached 2cm, filled with some fluid when it was cut into. Part of tumor was frozen, fixed, and used for a cell line.",,
