Mouse Necropsy information sheet,...2
Initials,ZL
Today's Date,44076
Mouse ID,23269-00
Disposition,Experimental end date
Sex,Female
Strain,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f
BD,43922
Sac Date,44076
Age at Sac,154
RCAS injection?,Yes
Injection route,intracranial
Injection Date,43926
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Brain looked perfectly normal
Date Tumor reported,N/A
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,1
H&E?,Yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
age at tumor onset,
